Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1270.00,11.00,17.25,10.45,15.70,15.05,15.70,5344.00,34308.08,373.68,1731000.00,11500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1080.00,-,-,-,274.00,-,167.60,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1090.00,-,-,-,198.10,-,157.80,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1000.00,229.00,229.00,229.00,229.00,229.00,246.95,1.00,6.15,1.15,4500.00,-500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1020.00,-,-,-,331.15,-,227.10,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1040.00,-,-,-,181.00,182.90,207.20,-,-,-,500.00,-,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1060.00,-,-,-,292.85,-,187.35,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1190.00,67.90,67.90,67.90,67.90,67.90,81.60,1.00,6.29,0.34,1000.00,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1330.00,-,-,-,19.50,-,16.75,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1200.00,64.95,75.00,61.60,73.50,73.40,73.50,218.00,1382.99,74.99,136000.00,10500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1340.00,10.00,13.10,9.50,12.45,12.05,12.45,84.00,567.61,4.81,97000.00,14000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1020.00,238.50,238.50,238.50,238.50,238.50,232.60,1.00,6.29,1.19,500.00,500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1040.00,-,-,-,252.60,-,213.05,-,-,-,-,-,1241.80
